codigo_ibge,Nome_UF,Nome_Município
1200013,Acre,Acrelândia
1200054,Acre,Assis Brasil
1200104,Acre,Brasiléia
1200138,Acre,Bujari
1200179,Acre,Capixaba
1200203,Acre,Cruzeiro do Sul
1200252,Acre,Epitaciolândia
1200302,Acre,Feijó
1200328,Acre,Jordão
1200344,Acre,Manoel Urbano
1200351,Acre,Marechal Thaumaturgo
1200336,Acre,Mâncio Lima
1200385,Acre,Plácido de Castro
1200807,Acre,Porto Acre
1200393,Acre,Porto Walter
1200401,Acre,Rio Branco
1200427,Acre,Rodrigues Alves
1200435,Acre,Santa Rosa do Purus
1200500,Acre,Sena Madureira
1200450,Acre,Senador Guiomard
1200609,Acre,Tarauacá
1200708,Acre,Xapuri
2700201,Alagoas,Anadia
2700300,Alagoas,Arapiraca
2700409,Alagoas,Atalaia
2700508,Alagoas,Barra de Santo Antônio
2700607,Alagoas,Barra de São Miguel
2700706,Alagoas,Batalha
2700904,Alagoas,Belo Monte
2700805,Alagoas,Belém
2701001,Alagoas,Boca da Mata
2701100,Alagoas,Branquinha
2701209,Alagoas,Cacimbinhas
2701308,Alagoas,Cajueiro
2701357,Alagoas,Campestre
2701407,Alagoas,Campo Alegre
2701506,Alagoas,Campo Grande
2701605,Alagoas,Canapi
2701704,Alagoas,Capela
2701803,Alagoas,Carneiros
2701902,Alagoas,Chã Preta
2702009,Alagoas,Coité do Nóia
2702108,Alagoas,Colônia Leopoldina
2702207,Alagoas,Coqueiro Seco
2702306,Alagoas,Coruripe
2702355,Alagoas,Craíbas
2702405,Alagoas,Delmiro Gouveia
2702504,Alagoas,Dois Riachos
2702553,Alagoas,Estrela de Alagoas
2702603,Alagoas,Feira Grande
2702702,Alagoas,Feliz Deserto
2702801,Alagoas,Flexeiras
2702900,Alagoas,Girau do Ponciano
2703007,Alagoas,Ibateguara
2703106,Alagoas,Igaci
2703205,Alagoas,Igreja Nova
2703304,Alagoas,Inhapi
2703403,Alagoas,Jacaré dos Homens
2703502,Alagoas,Jacuípe
2703601,Alagoas,Japaratinga
2703700,Alagoas,Jaramataia
2703759,Alagoas,Jequiá da Praia
2703809,Alagoas,Joaquim Gomes
2703908,Alagoas,Jundiá
2704005,Alagoas,Junqueiro
2704104,Alagoas,Lagoa da Canoa
2704203,Alagoas,Limoeiro de Anadia
2704302,Alagoas,Maceió
2704401,Alagoas,Major Isidoro
2704906,Alagoas,Mar Vermelho
2704500,Alagoas,Maragogi
2704609,Alagoas,Maravilha
2704708,Alagoas,Marechal Deodoro
2704807,Alagoas,Maribondo
2705002,Alagoas,Mata Grande
2705101,Alagoas,Matriz de Camaragibe
2705200,Alagoas,Messias
2705309,Alagoas,Minador do Negrão
2705408,Alagoas,Monteirópolis
2705507,Alagoas,Murici
2705606,Alagoas,Novo Lino
2705903,Alagoas,Olho d'Água Grande
2705705,Alagoas,Olho d'Água das Flores
2705804,Alagoas,Olho d'Água do Casado
2706000,Alagoas,Olivença
2706109,Alagoas,Ouro Branco
2706208,Alagoas,Palestina
2706307,Alagoas,Palmeira dos Índios
2706422,Alagoas,Pariconha
2706448,Alagoas,Paripueira
2706505,Alagoas,Passo de Camaragibe
2706604,Alagoas,Paulo Jacinto
2706703,Alagoas,Penedo
2706802,Alagoas,Piaçabuçu
2706901,Alagoas,Pilar
2707008,Alagoas,Pindoba
2707107,Alagoas,Piranhas
2707305,Alagoas,Porto Calvo
2707503,Alagoas,Porto Real do Colégio
2707404,Alagoas,Porto de Pedras
2707206,Alagoas,Poço das Trincheiras
2706406,Alagoas,Pão de Açúcar
2707602,Alagoas,Quebrangulo
2707701,Alagoas,Rio Largo
2707800,Alagoas,Roteiro
2707909,Alagoas,Santa Luzia do Norte
2708006,Alagoas,Santana do Ipanema
2708105,Alagoas,Santana do Mundaú
2708907,Alagoas,Satuba
2708956,Alagoas,Senador Rui Palmeira
2708204,Alagoas,São Brás
2708303,Alagoas,São José da Laje
2708402,Alagoas,São José da Tapera
2708501,Alagoas,São Luís do Quitunde
